Year,Round Number,AvgAirTemp,AvgHumidity,AvgPressure,TotalRainfall,AvgTrackTemp,AvgWindDirection,AvgWindSpeed
2022,1,23.62,29.49,1010.39,0,28.61,124.43,0.3
2022,2,25.42,59.66,1012.78,0,28.41,304.51,2.36
2022,3,26.7,43.65,1014.25,0,37.41,272.84,1.81
2022,4,12.9,83.17,1001.04,0,17.42,87.8,1.48
2022,5,30.62,58.86,1009.3,9,42.82,174.39,2.27
2022,6,36.57,7.11,996.02,0,48.96,176.83,3.49
2022,7,22.27,75.67,1002.99,107,31.04,206.38,0.99
2022,8,25.44,59.49,1009.9,0,47.15,266.29,1.53
2022,9,20.76,28.93,1012.4,0,41.26,141.24,3.55
2022,10,18.25,59.75,1002.36,9,30.03,160.49,1.46
2022,11,20.26,35.14,939.71,0,30.75,165.43,1.26
2022,12,30.16,47.73,967.91,0,54.46,118.15,1.95
2022,13,18.56,69.32,985.58,46,26.72,285.23,4.03
2022,14,21.79,40.52,971.05,0,36.08,257.15,1.52
2022,15,22.73,75.38,1017.11,0,33.45,138.35,1.06
2022,16,27.73,33.15,993.34,0,43.14,177.69,1.36
2022,17,26.23,87.45,1008.14,46,28.97,108.93,0.93
2022,18,16.72,86.21,1015.71,250,19.93,269.38,2.04
2022,19,29.29,49.62,991.2,0,35.52,107.74,5.49
2022,20,24.31,34.44,780.41,0,41.69,197.79,1.34
2022,21,23.01,76.08,922.16,0,46.05,161.44,1.44
2022,22,28.58,61.68,1013.52,0,34.31,290.79,2.61
2023,1,27.43,21.5,1016.86,0,31.01,177.13,0.68
2023,2,26.09,57.79,1010.93,0,31.79,271.16,1.77
2023,3,17.45,54.16,1018.37,0,30.14,138.07,1.13
2023,4,24.86,49.22,1008.65,0,41.21,125.69,1.08
2023,5,27.12,59.43,1018.38,0,36.69,135.54,3.97
2023,6,25.07,45.86,1013.36,26,39.26,143.01,1.01
2023,7,22.67,63.08,1001.09,0,33.84,132.64,1.87
2023,8,18.53,63.9,1011.55,0,30.59,314.13,1.94
2023,9,22.4,52.05,934.02,3,32.05,124.56,1.1
2023,10,21.47,56.19,1001.23,0,30.94,205.4,3.02
2023,11,28.81,32.8,988.4,0,48.58,174.54,1.44
2023,12,17.87,61.93,966.63,11,28.24,130.05,1.59
2023,13,16.79,70.78,1007.82,48,24.94,173.24,2.82
2023,14,29.33,42.32,1000.56,0,42.93,179.27,1.14
2023,15,29.84,72.03,1008.98,0,36.42,169.28,1.42
2023,16,27.29,42.32,1012.93,0,42.07,121.51,1.83
2023,17,31.46,73.16,1009.77,0,36.93,203.58,0.89
2023,18,29.96,41.91,993.73,0,40.63,107.89,3.31
2023,19,25.55,23.55,779.52,0,45.64,247.68,1.49
2023,20,20.46,58.17,927.9,1,46.78,184.16,1.31
2023,21,18.05,47.36,939.78,0,17.99,220.33,2.3
2023,22,26.96,51.0,1014.93,0,33.46,284.94,1.79
2024,1,18.23,48.82,1017.19,0,23.65,89.8,0.79
2024,2,25.53,62.34,1012.68,0,31.59,129.14,1.3
2024,3,20.62,44.45,1020.6,0,38.4,154.78,0.95
2024,4,21.69,43.43,1012.37,0,37.5,185.67,2.24
2024,5,18.64,66.06,1011.45,0,29.79,147.55,1.68
2024,6,28.52,59.01,1016.46,0,44.66,152.64,3.08
